"Id";"ExpertGroup";"EvaluatedScientificNameId";"EvaluatedScientificName";"EvaluatedScientificNameAuthor";"reproductionGenerationTime"
2990;"Karplanter";102502;"Digitalis lanata";"Ehrh.";3
2988;"Karplanter";102503;"Digitalis lutea";"L.";3
2986;"Karplanter";99996;"Digitaria sanguinalis";"(L.) Scop.";1
3060;"Karplanter";101181;"Diplotaxis muralis";"(L.) DC.";2
3034;"Karplanter";101182;"Diplotaxis tenuifolia";"(L.) DC.";5
3030;"Karplanter";101733;"Dipsacus fullonum";"L.";2
3029;"Karplanter";101734;"Dipsacus strigosus";"Willd. ex Roem. & Schult.";2
5570;"Karplanter";217574;"Dittrichia graveolens";"(L.) Greuter";1
5572;"Karplanter";156457;"Dodecatheon meadia";"L.";10
3027;"Karplanter";100549;"Doronicum ×excelsum";"(N.E.Br.) Stace";10
3026;"Karplanter";100548;"Doronicum columnae";"Ten.";10
